title,date,category,link,company,query,content
"GS칼텍스, LG전자·그린카 등과 전기차 생태계 구축 업무협약",2019/05/28,IT_과학>모바일 | IT_과학>과학 | IT_과학>인터넷_SNS,http://www.ajunews.com/view/20190528152000126,아주경제,그린카,"GS칼텍스는 28일 스마트위례주유소에서 LG전자, 그린카, 시그넷이브이, 소프트베리와 함께 국내 전기차 이용환경 개선과 저변 확대를 위한 업무협약(MOU)를 체결했다고 밝혔다.


GS칼텍스는 이번 업무협약을 통해 전기차 충전 네트워크를 제공함으로써 전기차 충전인프라의 전반적인 운영을 수행한다. LG전자는 전기차 충전인프라 종합 솔루션(EV Charging Infra Total Solution)을 개발한다.
 

                                    

이외 시그넷이브이는 충전기 공동개발을 통한 이용환경을 개선하고, 소프트베리는 빅데이터 분석을 통해 사용자의 편의성 개선과 새로운 사업 기회를 발굴한다. 그린카는 전기차 공유(Sharing) 활성화로 저변을 확대하는 역할을 맡아 국내 전기차 생태계(EV eco-system) 구축에 나선다.


GS칼텍스와 LG전자는 올해 초 기존의 주유소를 전기차 충전도 가능한 모빌리티 플랫폼으로 변모시키기 위해 ‘미래형 에너지-모빌리티 융복합 스테이션’ 조성 관련 업무협약을 체결했다. 이번 업무 협약으로 전기차 모바일 플랫폼(소프트베리), 충전기 제작(시그넷이브이), 셰어링(그린카) 업체가 추가로 참여하게 됐다.


GS칼텍스 관계자는 ""전기차 산업 관련 스타트업들과 언제든 함께 할 준비가 되어 있다""며 ""GS칼텍스가 사무국으로서 정기적인 세미나를 개최하고 새로운 전기차 관련 업체를 지속적으로 발굴, 지원, 연결하면서 전기차 생태계 연합을 더욱 확장하겠다""고 말했다.


GS칼텍스는 이날 서울 시내 주요 7개 직영주유소에서 100kW급 전기차 충전 사업을 본격적으로 시작했다. 6월 말까지 회사는 1kWh당 99원(환경부 기준가 173.8원)에 판매하고 20kWh 충전 시 3000원의 세차 할인쿠폰을 제공한다.


회사 측은 ""충전 접근성이 좋아진 것뿐만 아니라 기존 50kW급 이하 충전기 대비 충전 속도도 빨라지고 간단한 정비와 세차서비스 등도 이용 가능해 전기차 이용 고객의 편의성 개선이 기대된다""고 했다.


GS칼텍스는 6월 중으로 경기도 부천시, 고양시, 의정부시 등 수도권과 부산시, 광주시, 울산시 등 주요 광역시 GS칼텍스 주유소에도 전기차 충전기를 추가로 설치할 예정이다.



전기차 생태계 구축 MOU를 체결한 뒤 참여업체 관계자들이 기념사진을 촬영하고 있다. 왼쪽부터 그린카 김상원 대표, GS칼텍스 허철홍 상무, LG전자 이상용 전무, 시그넷이브이 이해옥 부사장, 소프트베리 박용희 대표[사진=GS칼텍스 제공.]"
"GS칼텍스, LG전자·그린카 등과 전기차 생태계 구축 업무협약",2019/05/28,IT_과학>모바일 | IT_과학>과학 | IT_과학>인터넷_SNS,http://biz.chosun.com/site/data/html_dir/2019/05/28/2019052800995.html?utm_source=bigkinds&utm_medium=original&utm_campaign=biz,조선일보,그린카,"GS칼텍스는 28일 스마트위례주유소에서 LG전자, 그린카, 시그넷이브이, 소프트베리와 함께 국내 전기차 이용환경 개선과 저변 확대를 위한 업무협약(MOU)를 체결했다고 밝혔다.

GS칼텍스는 이번 업무협약을 통해 전기차 충전 네트워크를 제공함으로써 전기차 충전인프라의 전반적인 운영을 수행한다. LG전자는 전기차 충전인프라 종합 솔루션(EV Charging Infra Total Solution)을 개발한다.

이외 시그넷이브이는 충전기 공동개발을 통한 이용환경을 개선하고, 소프트베리는 빅데이터 분석을 통해 사용자의 편의성 개선과 새로운 사업 기회를 발굴한다. 그린카는 전기차 공유(Sharing) 활성화로 저변을 확대하는 역할을 맡아 국내 전기차 생태계(EV eco-system) 구축에 나선다.

GS칼텍스와 LG전자는 올해 초 기존의 주유소를 전기차 충전도 가능한 모빌리티 플랫폼으로 변모시키기 위해 ‘미래형 에너지-모빌리티 융복합 스테이션’ 조성 관련 업무협약을 체결했다. 이번 업무 협약으로 전기차 모바일 플랫폼(소프트베리), 충전기 제작(시그넷이브이), 셰어링(그린카) 업체가 추가로 참여하게 됐다.

GS칼텍스 관계자는 ""전기차 산업 관련 스타트업들과 언제든 함께 할 준비가 되어 있다""며 ""GS칼텍스가 사무국으로서 정기적인 세미나를 개최하고 새로운 전기차 관련 업체를 지속적으로 발굴, 지원, 연결하면서 전기차 생태계 연합을 더욱 확장하겠다""고 말했다.

GS칼텍스는 이날 서울 시내 주요 7개 직영주유소에서 100kW급 전기차 충전 사업을 본격적으로 시작했다. 6월 말까지 회사는 1kWh당 99원(환경부 기준가 173.8원)에 판매하고 20kWh 충전 시 3000원의 세차 할인쿠폰을 제공한다.

회사 측은 ""충
전 접근성이 좋아진 것뿐만 아니라 기존 50kW급 이하 충전기 대비 충전 속도도 빨라지고 간단한 정비와 세차서비스 등도 이용 가능해 전기차 이용 고객의 편의성 개선이 기대된다""고 했다.

GS칼텍스는 6월 중으로 경기도 부천시, 고양시, 의정부시 등 수도권과 부산시, 광주시, 울산시 등 주요 광역시 GS칼텍스 주유소에도 전기차 충전기를 추가로 설치할 예정이다.



"
"[CEO] 버스·철도와 차량공유 연계…그린카, 회원수 400만명 넘긴다",2019/04/21,IT_과학>인터넷_SNS | IT_과학>콘텐츠 | 경제>산업_기업,http://news.mk.co.kr/newsRead.php?year=2019&no=247423,매일경제,그린카,"""그린카는 카셰어링(차량 공유) 서비스에 집중해서 3~4년간 의미 있는 규모로 성장했다. 하지만 모빌리티 기업의 정체성을 생각하면 현재의 단일 사업 구조는 바뀌어야 한다. (규제만 해결되면) 우버나 리프트 같은 모빌리티 플랫폼 업체로 변화시키고 싶다.""
지난달 김상원 그린카 대표는 취임 후 처음으로 매일경제신문과 인터뷰하며 이같이 말문을 뗐다.googletag.display(""google_dfp_MC_2x1,fluid""); 그린카는 롯데렌탈(옛 KT렌탈)이 출범시킨 차량 공유 서비스로, 쏘카와 함께 국내시장을 양분하고 있는 기업이다. 국내 차량 공유 시장은 아직 역사가 짧지만 2011년 6억원에 불과했던 규모가 내년 5000억원으로 추산될 정도로 `핫`하다.
김 대표는 당장의 목표로 ""연내 회원 수를 현 300만명에서 100만명 늘려 400만명을 달성하겠다""고 말했다. 국내 1위인 쏘카(회원 500만명, 차량 1만2000대)와 양적 격차를 빠르게 좁힌다는 것이다. 올해 기준 그린카는 차량 약 6500대와 차고지(그린존) 약 3200곳을 전국에 확보한 상태다. 
김 대표는 ""차량과 회원을 늘리는 외형 확대뿐만 아니라 수익성과 이용률을 높이는 질적 확대를 꾀할 것""이라며 ""고객의 차량 이용 패턴을 반영한 차별화 서비스를 확대하고 있다""고 말했다. 그린카의 차별화 서비스는 △전국 고속철도·버스와 연계한 그린카 셰어링 △법인·개인 사업자를 대상으로 한 법인형 카셰어링 △고객이 차량 관리에 참여해 캠퍼스·주거단지에서 차량을 공유하는 고객 참여형 카셰어링 등이다. 김 대표는 ""대중교통 연계 서비스는 최근 코레일과 통합 예약 서비스 `코레일톡+`를 출시해 이용 편의성을 높이고 고객 참여형 카셰어링은 전국 200여 개 대학 캠퍼스에 1000대까지 차량을 확대할 계획""이라고 말했다. 
그린카의 또 다른 차별화 지점은 친환경차 서비스다. 그린카는 순수 전기차(EV) 210대, 하이브리드차와 플러그인하이브리드차(PHEV) 460대 등 친환경차를 총 670대 보유해 쏘카를 앞섰다. 김 대표는 ""EV를 비롯한 친환경차 비중이 전체 보유 차량 중 3~4% 정도인데 더 확대할 예정""이라고 말했다.
수많은 업계 전문가들과 마찬가지로 김 대표는 ""현재 공유형 차량 서비스는 카셰어링, 라이드셰어링(승차 공유) 같은 다양한 사업이 존재하지만 기술 발전과 함께 하나로 융합될 것""이라고 전망했다. 김 대표에 따르면 ""모빌리티 승부처는 빅데이터를 토대로 어느 지역에서 누가 차량 이동 수요를 얼마나 갖고 있는지를 예측하는 것""이다.googletag.display(""google_dfp_MC_250x250"");  이와 관련해 그린카는 지난해 GS칼텍스에서 350억원의 전략적 지분 투자를 유치해 주유소 인프라스트럭처와 그린카 차량 이용 빅데이터를 결합하기로 했다. 
김 대표는 동양투자신탁증권과 현대캐피탈, 싸이더스를 거쳐 롯데렌탈에 몸담았다. 그는 ""그린카도 단기간에 많이 성장했지만 나는 아직 그린카를 벤처로, 정보기술(IT) 회사로 본다""며 ""법상 규제가 풀리면 카풀 서비스, 공유형 버스도 해 볼 만하다""고 했다. 그는 ""관광 산업이 중요한 축인 롯데그룹 사업 구조를 고려해 국내에 여행 온 외국인 대상 차량호출 서비스 출시도 생각하고 있다""고 말했다. 
▶▶ He is… 
△1971년 창원 출생 △인하대 법학 △2000~2003년 동양투자신탁증권 벤처투자팀 △2003~2005년 현대캐피탈 콜렉션 기획·관리 △2005~2009년 싸이더스FNH 전략기획팀 △2009~2018년 롯데렌탈(옛 KT렌탈) △2019년~현재 그린카 대표
[이종혁 기자 / 사진 = 김호영 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
					
					
window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")"
"그린카-코레일, 카셰어링·기차 통합예약서비스 출시",2019/04/02,IT_과학>인터넷_SNS | 경제>서비스_쇼핑 | 경제>산업_기업,http://news.mk.co.kr/newsRead.php?year=2019&no=199278,매일경제,그린카,"[사진제공=그린카]
 카셰어링 브랜드 그린카는 코레일과 제휴를 맺고 기차·그린카 통합예약서비스를 선보인다고 2일 밝혔다.
기차·그린카 통합예약서비스는 기차와 그린카 카셰어링 예약을 하나의 플랫폼에서 한 번에 진행할 수 있는 서비스다. 고객이 코레일의 승차권 앱인 ‘코레일톡+’를 통해 기차표를 예매하면, 도착역에서 가장 가까운 그린존의 차량을 실시간으로 조회하고 예약할 수 있다.
통합예약서비스는 여행과 출장 등 다양한 상황에서 대중교통과 카셰어링을 연계해 차량 이용 고객에게 이동 편의성을 제공하기 위해 기획됐다. 그린카는 전국 기차역 500m 부근에 650여 개의 그린존(차고지) 및 1700여대의 차량을 운영하고 있어 기차와 연계된 카셰어링 서비스를 보다 편리하게 이용할 수 있다.
그린카는 통합예약서비스 출시를 기념해 ‘어디든 다-잇다’ 프로모션을 진행한다.googletag.display(""google_dfp_MC_250x250"");  4월 한 달간 통합예약서비스를 이용한 고객 전원을 대상으로 추첨을 통해 그린카 24시간 이용권과 스카이베이 경포 호텔 숙박권을 증정한다. 이용 후기를 남긴 고객 중 총 10명을 추첨해 문화상품권 5만원권을 선물한다.
김상원 그린카 대표이사는 “필요한 시간 동안만 차량을 이용하고 장거리 운전의 피로를 줄이는 대중교통 연계 카셰어링 서비스는 새로운 트렌드로 자리 잡고 있다”며 “완연한 봄기운이 느껴지는 요즘, 그린카와 코레일이 공동으로 개발한 기차·카셰어링 통합예약서비스를 활용해 똑똑한 봄 여행과 출장을 떠나시길 바란다”고 말했다.
[디지털뉴스국 박소현 객원기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
					
					
window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")"
"그린카, 코레일과 기차ㆍ카셰어링 통합예약서비스 론칭",2019/04/02,경제>서비스_쇼핑 | 문화>요리_여행,http://biz.heraldcorp.com/view.php?ud=20190402000195,헤럴드경제,그린카,"- 코레일 승차권앱 통해 기차 예매와 그린카 카셰어링 예약을 한 번에- 그린카, 전국 기차역 인근 650여 개 차고지에 1700여 대 차량 운영[헤럴드경제=박혜림 기자] 그린카는 코레일과 제휴를 맺고 기차∙그린카 통합예약서비스를 론칭한다고 2일 밝혔다.기차∙그린카 통합예약서비스는 기차와 그린카 카셰어링 예약을 하나의 플랫폼에서 한 번에 진행할 수 있는 서비스다. 고객이 코레일의 승차권 앱인 ‘코레일톡+’를 통해 기차표를 예매하면 도착역에서 가장 가까운 그린존의 차량을 실시간으로 조회하고 예약할 수 있다.그린카가 코레일과 새롭게 선보이는 통합예약서비스는 여행, 출장 등 다양한 상황에서 대중교통과 카셰어링을 연계해 필요한 만큼만 차량을 이용하고자 하는 고객에게 차별화된 이동 편의성을 제공하고자 기획됐다. 특히 그린카는 전국 기차역 500ｍ 부근에 650여개의 그린존(차고지)과 1700여대의 차량을 운영하고 있어 기차와 연계된 카셰어링 서비스를 보다 편리하게 이용할 수 있다.그린카는 통합예약서비스 론칭을 기념해 ‘어디든 다-잇다’ 프로모션을 진행한다. 4월 한 달간 통합예약서비스를 이용한 고객 전원을 대상으로 추첨을 통해 그린카 24시간 이용권과 스카이베이 경포 호텔 숙박권을 증정하고, 이용 후기를 남긴 고객 중 총 10명을 추첨해 문화상품권 5만원권을 증정한다.김상원 그린카 대표이사는 “필요한 시간 동안만 차량을 이용하고 장거리 운전의 피로를 줄이는 대중교통 연계 카셰어링 서비스는 새로운 트렌드로 자리잡고 있다”며 “완연한 봄기운이 느껴지는 요즘, 그린카와 코레일이 공동으로 개발한 기차∙카셰어링 통합예약서비스를 활용해 똑똑한 봄 여행과 출장을 떠나 보시길 추천드린다”고 전했다.rim@heraldcorp.com"
"그린카, 한국산업 브랜드파워(K-BPI) `5년 연속 1위`",2019/03/22,경제>자동차 | IT_과학>IT_과학일반,http://news.mk.co.kr/newsRead.php?year=2019&no=173376,매일경제,그린카,"[사진제공=그린카]
 그린카는 ‘2019년 한국산업의 브랜드파워(K-BPI)’ 카셰어링 부문에서 5년 연속 1위를 수상했다고 22일 밝혔다. 
올해로 21회째를 맞는 한국능률협회컨설팅(KMAC) 주관 한국산업의 브랜드파워 조사(K-BPI: Korea Brand Power Index)는 브랜드가 소비자의 구매행동에 미치는 영향력을 측정하는 지표다. 조사 대상자들의 일대일 개별면접을 통해 브랜드 이미지 및 신뢰도, 만족도, 이용가능성 등에 대해 조사한다. 
이번 조사에서 그린카는 브랜드 이미지, 이용가능성, 선호도 등 브랜드 충성도 부분에서 업계 내 압도적인 우위를 차지했다고 설명했다.googletag.display(""google_dfp_MC_2x1,fluid""); 이로써 그린카는 지난 2015년부터 5년 연속 카셰어링 부문 1위를 차지하게 됐다.
2011년 9월 국내 최초 카셰어링 서비스를 도입한 카셰어링 브랜드 그린카는 차별화된 서비스를 구축해 업계를 선도하고 있다.googletag.display(""google_dfp_MC_250x250"");  법인 및 개인사업자를 대상으로 업무용 카셰어링 차량을 제공하는 `법인형 카셰어링` 서비스는 가입기업 1만개를 돌파했다. 업계 최초로 고객 참여형 커뮤니티 카셰어링 서비스 `캠퍼스카`를 선보인 데 이어 서비스 지역을 주거단지까지 확대한 `빌리지카`를 출시해 고객의 이동 편의성을 높이는 카셰어링 서비스를 제공하고 있다. 
더불어 그린카는 2017년 8월 네이버랩스와 공동개발한 차량용 인포테인먼트(IVI, In-Vehicle Infortainment) 플랫폼 AWAY 서비스를 업계 최초로 도입해 보다 편리한 주행환경을 제공하고 있다. 
김상원 그린카 대표는 ""그린카가 변화하는 고객의 차량 이용패턴에 맞춰 최적화된 이동 서비스를 제공하고자 노력한 결과 5년 연속으로 한국산업의 브랜드파워(K-BPI) 카셰어링 부문 1위에 선정될 수 있었다""고 말했다.
[디지털뉴스국 박소현 객원기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
					
					
window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")"
"그린카, 한국산업의 브랜드파워 5년 연속 1위",2019/03/22,경제>자동차 | IT_과학>인터넷_SNS | 경제>산업_기업,http://biz.heraldcorp.com/view.php?ud=20190322000052,헤럴드경제,그린카,"- 브랜드 이미지ㆍ이용가능성ㆍ선호도 등 브랜드 충성도부분서 압도적 우위[헤럴드경제=이정환 기자] 카셰어링 브랜드 그린카(대표 김상원)는 한국능률협회컨설팅(KMAC)에서 주관한 ‘2019년 한국산업의 브랜드파워(K-BPI)’의 카셰어링 부문에서 5년 연속 1위를 수상했다고 21일 밝혔다.그린카는 카셰어링 브랜드 중 가장 영향력있는 브랜드로 인정받아 2015년부터 5년 연속 1위에 선정되는 영예를 안게 됐다. 특히 브랜드 이미지, 이용가능성, 선호도 등 브랜드 충성도 부분에서 업계 내 압도적인 우위를 차지했다.그린카는 법인 및 개인사업자를 대상으로 업무용 차량을 카셰어링으로 제공해 업무효율을 높이는 ‘법인형 카셰어링’ 서비스를 출시해 최근 가입기업 1만개를 돌파했다. 업계 최초로 고객 참여형 커뮤니티 카셰어링 서비스 ‘캠퍼스카’를 선보인 데 이어 서비스 지역을 주거단지까지 확대한 ‘빌리지카’를 출시하는 등 고객의 이동 편의성을 높이는 다양한 카셰어링 서비스를 제공하기 위해 끊임없이 노력하고 있다.또한 신개념 서비스를 지속적으로 선보이며 업계 주요 브랜드로서 카셰어링의 품질 향상을 이끌고 있다. 그린카는 2017년 8월 네이버랩스와 공동개발한 차량용 인포테인먼트(IVI, In-Vehicle Infortainment) 플랫폼 AWAY 서비스를 업계 최초로 도입해 보다 편리한 주행환경을 제공하고 있다. KT의 AI스피커와 연계해 집 안에서도 음성으로 카셰어링을 이용할 수 있는 인공지능 카셰어링 서비스를 최초로 출시하며 커넥티드카 서비스를 확대하고 있다.그린카 김상원 대표는 “그린카가 변화하는 고객의 차량 이용패턴에 맞춰 최적화된 이동 서비스를 제공하고자 노력한 결과 5년 연속 한국산업의 브랜드파워(K-BPI) 카셰어링 부문 1위에 선정될 수 있었다”며 “앞으로도 최고의 카셰어링 서비스를 제공하기 위해 고객과의 지속적인 소통은 물론 차별화된 서비스 개발 및 품질 관리로 대한민국 대표 카셰어링 브랜드로서의 입지를 공고히 할 것”이라고 말했다.attom@heraldcorp.com"
"그린카, `캠퍼스카`로 캠퍼스 카셰어링 지역 확대",2019/03/08,미분류,http://news.mk.co.kr/newsRead.php?year=2019&no=140131,매일경제,그린카,"그린카, 캠퍼스카 시즌3 시작 [사진제공=그린카]
 그린카는 고객 참여형 카셰어링 서비스 ‘캠퍼스카’ 시즌3를 시작하며 차량 대수와 신청 지역을 대폭 확대한다고 8일 밝혔다.
그린카가 업계 최초로 선보인 캠퍼스카는 대학교 인근에 그린카 차량을 배치하고 대학(원)생, 교직원 등 캠퍼스 구성원들이 ‘캠퍼스카 오너’가 되어 이를 직접 관리하는 신개념 카셰어링 서비스다. 차량 관리자인 ‘캠퍼스카 오너’를 비롯한 캠퍼스 구성원부터 지역주민까지 해당 서비스를 이용할 수 있다.
그린카는 이번 ‘캠퍼스카’ 시즌3을 시작하며 지원 차량과 신청 지역을 크게 늘렸다.googletag.display(""google_dfp_MC_2x1,fluid""); 올해에는 전 시즌 대비 약 67% 증가한 총 1000대의 차량을 지원한다. 특히 대중교통이 불편한 캠퍼스에 차량을 우선 배치해 서비스 지역을 광역시 중심에서 전국 시∙도로 확대하고 더욱 많은 지역의 대학생과 주민의 이동 편의성을 높일 예정이다.
또 ‘전국 캠퍼스 통합 할인’ 제도를 통해 한 번의 인증으로 전국 캠퍼스존 어디에서나 최대 76% 할인 혜택을 받을 수 있다.googletag.display(""google_dfp_MC_250x250"");  캠퍼스 구성원뿐만 아니라 인근 주민들에게도 동일한 혜택을 적용하는 할인 제도를 통해 지역 주민까지 합리적인 카셰어링 서비스를 이용할 수 있다.
그린카는 각 캠퍼스의 차량을 관리하는 ‘캠퍼스카 오너’를 신규 모집하여 전국 대학교를 대상으로 캠퍼스존을 확대해 나갈 계획이다. 캠퍼스카 오너 신청은 그린카 모바일 앱 내 오너 신청 페이지를 통해 상시로 가능하다. 
선발된 오너는 그린카 차량에 대한 정기적인 점검 및 관리를 진행하고, 차량 운영성과에 따라 월 20시간 그린카 무료 이용 쿠폰과 리워드 포인트 등의 추가 혜택을 받을 수 있다.
[디지털뉴스국 박소현 객원기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
					
					
window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")"
차량공유 기업 그린카 대표에 김상원씨,2019/02/26,경제>산업_기업 | IT_과학>콘텐츠,http://www.fnnews.com/news/201902251837584191,파이낸셜뉴스,그린카,"차량공유(카셰어링) 기업 그린카가 지난 21일 이사회를 열고 김상원 대표이사(49·사진)를 선임했다고 25일 밝혔다.김 신임 대표이사는 금융, 영화, 렌털 등 다양한 업계의 실무 경험을 보유한 미래전략기획 전문가다. 현대캐피탈, 싸이더스FNH를 거쳐 지난 2010년 롯데렌탈에 합류해 경영혁신팀장, 전략기획팀장을 역임했다.김 대표이사는 지난해 그린카·GS칼텍스 간 전략적 파트너십 체결과 350억원 투자유치에 기여하는 등 미래 모빌리티 시장을 개척할 적임자로 낙점됐다.gogosing@fnnews.com 박소현 기자"
롯데 그린카 김상원 대표이사 선임,2019/02/25,경제>산업_기업,http://www.segye.com/content/html/2019/02/25/20190225004331.html,세계일보,그린카,"롯데그룹 차량공유 계열사 그린카가 김상원(49·사진) 대표이사를 신규 선임했다. 그린카는 지난 21일 이사회를 열어 금융, 영화, 렌탈 등 다양한 업계의 실무 경험을 보유한 김 대표를 신임 대표로 선임했다고 25일 밝혔다. 김 대표는 현대캐피탈, 싸이더스FNH를 거쳐 2010년 롯데렌탈에 합류해 경영혁신팀장, 전략기획팀장을 역임했다. 그는 지난해 그린카-GS칼텍스간 전략적 파트너십 체결과 350억원 투자 유치에 기여하는 등 미래 모빌리티 시장에 대해 큰 관심을 보였다. 
          [ⓒ 세계일보 & Segye.com, 무단전재 및 재배포 금지]"
