title,date,category,link,company,query,content
"LG생활건강 더페이스샵, '점주와 갈등'으로 온라인 판매 중단",2019/06/14,경제>유통 | 경제>서비스_쇼핑 | IT_과학>인터넷_SNS,http://www.ajunews.com/view/20190614181451909,아주경제,더페이스샵,"LG생활건강이 로드숍 '더페이스샵'과 편집숍 '네이처컬렉션' 자사 직영 온라인 쇼핑 서비스를 중단했다. 그동안 화장품 온라인 판매를 두고 점주들과 갈등을 빚어온 데 따른 것이다.
 

                                    

14일 LG생활건강 관계자는 ""회사 내부 정책으로 인해 지난 7일부터 온라인몰 구매 서비스를 중단했다""면서 ""가맹점주와 상생을 위해 자발적으로 결정한 조치""라고 설명했다. 네이처컬렉션은 더페이스샵이 뷰티 라이프스타일을 표방하며 최근 전환한 매장이다.



더페이스샵 공식 홈페이지에 올라온 온라인몰 구매서비스 종료 공지문. [사진=더페이스샵 홈페이지 캡처]


홈페이지는 구매 서비스 외에 제품정보와 프로모션 안내, 매장정보 조회 등 나머지 기능은 그대로 유지한다.


업계는 이번 조치가 화장품 가맹점의 수익성 하락과 점주들과의 갈등에 따른 조치라고 풀이했다. 


더페이스샵의 지난해 매출은 4873억원으로, 최고 기록을 세웠던 2016년 6498억원보다 20% 상당 감소했다. 같은 기간 당기순이익은 601억원에서 13억원으로 97.8% 급감했다.


지난 3월 LG생활건강을 비롯한 국내 주요 화장품 브랜드 가맹점주들은 전국화장품가맹점연합회(화가연)를 결성하고, 시중 온라인몰에서 가맹점 공급가보다 훨씬 낮은 가격에 화장품을 팔마 가맹점주들이 막대한 피해를 봤다고 주장했다.


본사가 온라인몰에 똑같은 상품을 가맹점 공급가보다도 싼 가격에 내놓으면서 가맹점을 '테스트 매장' 수준으로 전락시켰다는 것이다. 또한 가맹점에서는 공급받기 어려운 인기 제품이 본사 온라인 직영몰과 이커머스 채널에서는 쉽게 유통되고 있다고 주장한 바 있다."
더페이스샵 온라인 직영몰 중단한다…LG생활건강 “상생 위해”,2019/06/14,경제>서비스_쇼핑 | 경제>유통 | IT_과학>인터넷_SNS,http://www.hani.co.kr/arti/economy/consumer/897920.html,한겨레,더페이스샵,"더페이스샵 누리집 갈무리



  로드숍 ‘더페이스샵’ 등을 운영하는 엘지(LG)생활건강이 가맹점주들과의 상생을 위해 온라인 쇼핑 서비스를 중단했다.
  엘지생활건강이 운영하는 더페이스샵과 편집숍 ‘네이처컬렉션’은 지난 7일부터 온라인 직영 쇼핑몰 운영을 중단한다고 최근 공지했다. 이들은 “회사 내부정책으로 인해 6월7일자로 구매 서비스를 종료하게 됐다”며 “제품정보, 프로모션, 매장정보 조회 등 기능은 현재와 같이 유지된다”고 밝혔다.
  업계는 이번 조처가 화장품 가맹점의 수익성 하락과 점주들과의 갈등에 따른 것이라고 풀이했다. 가맹점주들은 본사 직영 쇼핑몰 운영과 잦은 할인행사와 등으로 영업위기를 겪고 있다며 호소해왔다. 더페이스샵과 네이처리퍼블릭, 아리따움, 이니스프리, 토니모리 등 5개 화장품 브랜드의 가맹점주들은 지난 3월 전국화장품가맹점연합회를 결성하기도 했다. 당시 이들은 “(본사의 온라인 직영점 탓에) 가맹점은 테스트 매장처럼 변했고, 이 때문에 매출이 감소하고 있다”며 본사에 상생을 위한 대책 마련을 요구했다. 
  엘지생활건강 관계자는 “가맹사업 대상인 이들 두 개 브랜드에 대해서만 온라인 구매 서비스를 중단했다”며 “가맹점주와 상생을 위해 자발적으로 결정한 조처”라고 설명했다.
 신민정 기자 shin@hani.co.kr
◎ Weconomy 홈페이지 바로가기: http://www.hani.co.kr/arti/economy◎ Weconomy 페이스북 바로가기: https://www.facebook.com/econohani"
"'더페이스샵' 온라인몰 폐쇄한 LG생건...상생효과는 ""글쎄""",2019/06/14,경제>산업_기업 | 경제>서비스_쇼핑 | 경제>유통,http://biz.chosun.com/site/data/html_dir/2019/06/14/2019061400003.html?utm_source=bigkinds&utm_medium=original&utm_campaign=biz,조선일보,더페이스샵,"직영몰 매출 미미해 실효성 의문...소비 트렌드 역행한다는 지적도

LG생활건강 (1,336,000원▲ 6,000 0.45%)이 지난 7일 로드숍 브랜드 더페이스샵과 자사 브랜드 편집숍 네이처컬렉션의 온라인 직영 쇼핑몰을 폐쇄했다. LG생활건강은 더페이스샵과 네이처컬렉션 홈페이지에 안내문을 띄우고 ""회사 내부정책으로 인해 온라인몰이 2019년 6월 7일자로 구매 서비스를 종료하게 됐다""고 밝혔다. 현재 이들 직영몰은 상품 소개와 오프라인 매장 안내 등을 위한 홈페이지로 활용되고 있다.

회사 측은 온라인 직영몰 폐쇄는 가맹점주와의 상생을 위한 조치라고 강조했다. LG생건 관계자는 ""온라인 등 유통환경 변화에 따른 가맹점주들의 반발이 커짐에 따라 지난해 오픈마켓 판매를 중단한 데 이어, 이달 자사 온라인 쇼핑몰을 폐쇄했다""고 밝혔다. 지난해 말 기준 더페이스샵 가맹점은 261개, 네이처컬렉션 가맹점은 322개다.

더페이스샵은 2005년부터 온라인 직영몰을 운영해 왔다. 초기에는 반발이 없었지만, 온라인 쇼핑이 활성화되고 화장품 로드숍의 불황이 시작되면서 가맹점주들과의 갈등이 불거졌다. 지난해 더페이스샵 매출은 4873억원으로 정점을 찍었던 2016년(6498억원)보다 20% 줄었다.

점주들은 매출 부진의 원인을 본사의 온라인 사업 강화로 꼽았다. 쿠팡 등 이커머스와 온라인몰 등에서 할인 판매를 진행하면서 공정한 경쟁을 할 수 없게 됐다는 것이다. 이에 LG생활건강은 오픈마켓 판매를 철수했지만, 본사와 계약되지 않은 비유통 판매가 여전히 성행하면서 점주들의 불만은 계속됐다.

지난 3월에는 온라인 직영몰에서 가맹점 공급가보다 낮은 가격에 화장품을 팔았다는 의혹이 제기되면서 LG생활건강, 아모레퍼시픽, 토니모리 소속 5개 화장품 브랜드 로드숍 가맹점주들이 전국화장품가맹점연합회(이하 화가연)를 출범했다. 화가연 측은 본사가 직영몰과 대형 온라인몰에 가맹점에는 공급하지 않는 인기 제품을 팔거나, 같은 제품을 더 싸게 내놓으면서 가맹점이 ‘전시장’으로 전락했다고 주장했다.

LG생활건강이 온라인 사업 중단이라는 카드를 꺼내 들었지만, 업계 반응은 냉랭하다. 화장품 업체 한 관계자는 ""상징성은 있지만 실효성이 있는지 의문""이라고 했다. 화장품 업체들이 자사 온라인몰에서 거두는 매출 비중이 적기 때문이다.

소비 트렌드를 역행한다는 지적도 나온다. 산업통상자원부에 따르면 국내 이커머스 시장 규모는 지난해 100조원을 돌파했다. 한 20대 여성 고객은 ""그동안 온라인으로 화장품을 주문해 왔는데, 굳이 오프라인 매장까지 가야 한다면 다른 제품으로 갈아탈 의향이 있다""라고 말했다.

가맹점주들도 비슷한 입장이다. 더페이스샵 가맹점주 박모씨는 ""면세 화장품 불법유통 등 비정상적으로 유통되는 오픈마켓의 할인 판매를 통제해 달라는 게 점주들의 요구""라며 ""직영몰 폐쇄는 해결책과 거리가 멀다""고 말했다. 다른 점주도 ""온라인 쇼핑몰 중단으로 인해 브랜드 이미지가 나빠지면 회사와 점주 모두 힘들어지는 것 아닌지 우려된다""고 했다.

가맹점주와의 갈등은 이곳만의 문제가 아니다. 같은 고민을 안고 있는 아모레퍼시픽 (171,000원▲ 1,000 0.59%)은 이니스프리·아리따움·에뛰드 등 로드숍의 온라인 매출을 가맹점주와 나누는 ‘마이샵’ 프로그램을 도입했다. 고객이 특정 오프라인 매장을 지정하고 온라인 직영몰에서 제품을 구매하면, 해당 매장과 판매 수익 일부를 나누는 방식이다. 온라인에서 구매한 제품을 해당 오프라인 매장에서 반품할 수도 있다.

아모레퍼시픽 관계자
는 ""직영몰 규모가 크지 않아 점주에게 돌아가는 혜택은 적지만, 이를 시작으로 다양한 방법론을 연구할 방침""이라고 밝혔다.

서용구 숙명여대 경영학부 교수는 ""성장 시대에는 멀티채널 전략이 필요하지만, 성장 이후에는 브랜드 자산 관리가 중요하다""면서 ""LG생활건강의 이번 조치는 분산된 유통 채널을 정비하고 브랜드 관리에 집중하려는 전략으로 보인다""고 말했다.

"
"LG생활건강, 더페이스샵 온라인 판매 중단…소비자 불편 가중",2019/06/13,경제>유통 | 경제>서비스_쇼핑 | 경제>산업_기업,https://www.hankyung.com/article/201906134259g,한국경제,더페이스샵,"LG생활건강이 더페이스샵과 네이처컬렉션 홈페이지를 통해 온라인 판매를 중단한다고 밝혔다. [사진=더페이스샵, 네이처컬렉션 홈페이지 캡처] 

LG생활건강(1,359,000 +2.10%)이 원브랜드숍 '더페이스샵'과 편집숍 '네이처컬렉션'의 온라인 판매를 중단하기로 했다.13일 업계에 따르면 LG생활건강은 더페이스샵과 네이처컬렉션 홈페이지를 통해 ""회사 내부정책으로 인해 온라인몰이 2019년 6월7일자로 구매 서비스를 종료하게 됐다""고 밝혔다.이날부터 15일까지 3일간 진행되는 '6월 멤버십데이' 이벤트 역시 오프라인 매장에서만 진행된다.이는 가맹점주들의 상생을 요구하는 목소리에 따른 것으로 풀이된다. LG생활건강 관계자는 ""최근 가맹점주들의 불만이 커지고 있어 불가피하게 온라인 서비스를 종료할 수 밖에 없었다""고 말했다.지난 3월 더페이스샵, 네이처리퍼블릭 등 5개 브랜드의 로드숍 가맹점주들은 전국화장품가맹점연합회(이하 '화가연') 출범식을 열고 본사의 정책에 반대하는 목소리를 냈다. 화가연은 LG생활건강 등 화장품 업체들이 시중 온라인몰에서 가맹점 공급가보다 훨씬 낮은 가격에 화장품을 팔아 가맹점주들이 막대한 피해를 봤다고 목소리를 높였다. 본사가 온라인몰에 똑같은 상품을 가맹점 공급가보다도 싼 가격에 내놓으면서 가맹점을 '테스트 매장' 수준으로 전락시켰다고 주장한 것이다.게다가 가맹점에서 공급받기 어려운 인기 제품이 본사 온라인 직영몰과 이커머스 채널에서는 쉽게 유통되고 있다고 주장했다. 한 페이스샵 점주는 ""인기 상품의 경우 본사에 주문을 넣어도 재고가 없어 한 달 넘게 기다려야 한다""며 ""정작 온라인에서는 버젓이 판매되고 있어 가맹점주들이 고스란히 피해를 보고 있다""고 울분을 터트렸다.특히 출범식에는 우원식, 박홍근 더불어민주당 의원도 자리를 함께 하며 힘을 보탰다. 정치권이 이 문제에 관심을 가지고 들여다보겠다는 의미로 해석돼 LG생활건강으로서는 부담으로 작용했다는 평가다.업계 관계자는 ""온라인에서 해당 화장품을 구입할 수 있는 채널은 얼마든지 있기 때문에 공식 쇼핑몰 판매만 종료한다고 해결될 문제가 아니다""며 ""소비자 불편만 가중시킬 가능성이 높다""고 말했다.
                            



지난 3월 국회의원회관 대회의실에서 열린 '전국화장품가맹점연합회' 발족식. 더페이스샵, 네이처리퍼블릭 등 5개사 가맹점주 관계자와 국회의원이 구호를 외치고 있다. [사진=전국화장품가맹점연합회]

                        강경주 한경닷컴 기자 qurasoha@hankyung.com"
"더페이스샵, 온라인판매 중단…오프라인만 15일까지 ‘멤버십데이’",2019/06/13,경제>서비스_쇼핑 | 경제>산업_기업 | 경제>유통,http://www.ajunews.com/view/20190613093831610,아주경제,더페이스샵,"화장품 브랜드 더페이스샵이 오늘(13일)부터 3일간 6월 멤버십데이 이벤트를 진행한다. 단, 오프라인 로드숍에서만 혜택을 받을 수 있다. 
 

                                    

더페이스샵은 13일부터 15일까지 3일간 오프라인 매장에서 6월 멤버십데이 이벤트를 진행한다고 밝혔다. 앞서 지난 7일 더페이스샵이 온라인 쇼핑 서비스를 종료했다. 이에 따라 오프라인 매장에서만 멤버십데이 행사를 진행한다. 


더페이스샵 멤버십 데이에서는 일부 품목을 제외한 더페이스샵 제품을 최대 50% 할인된 가격에 만나 볼 수 있다. 다만 해당 기간동안 구매금액별 사은품 쿠폰 추가할인 등 타 행사는 중복 적용되지 않으며 포인트 적립 및 사용이 불가하다.


행사 제품은 기초(스킨·로션) 최대 30%, 클렌징 최대 50%, 베이스 메이크업 최대 50%, 립&아이 최대 50%, 마스크시트 최대 50%, 선케어 최대 50%, 향수 최대 20%다.


또 더페이스샵은 세일기간 중 모든 구매 고객에게 구매금액별 할인 쿠폰을 증정한다. 3만원 이상 구매시 20% 쿠폰, 5만원 이상 구매시 30% 쿠폰이 증정되며, 해당 쿠폰은 19일부터 30일까지 사용이 가능하다.

 



더페이스샵은 13~15일 '6월 멤버십데이' 행사를 오프라인 매장에서만 진행한다. [사진=더페이스샵 홈페이지]"
더페이스샵 `6월 멤버십데이`…최대 50% 할인·구매금액별 쿠폰 증정,2019/06/13,경제>서비스_쇼핑 | 경제>유통 | 경제>산업_기업,http://news.mk.co.kr/newsRead.php?year=2019&no=413403,매일경제,더페이스샵,"[사진 출처 = 더페이스샵 홈페이지 캡처]
 화장품 브랜드 더페이스샵이 `6월 멤버십데이`를 진행해 화제를 모으고 있다.
더페이스샵은 13일 공식 홈페이지를 통해 ""이날부터 오는 15일까지 3일 동안 오프라인 매장에서 6월 멤버십데이 이벤트를 진행한다""고 밝혔다.
이번 행사는 일부 품목을 제외한 다양한 상품들을 최대 50% 할인된 가격에 제공한다.
품목별 할인율은 ▲기초(스킨·로션) 최대 30% ▲클렌징 최대 50% ▲베이스 메이크업 최대 50% ▲립&아이 최대 50% ▲마스크시트 최대 50% ▲선케어 최대 50% ▲향수 최대 20%다.
이외에도 세일 기간 모든 구매 고객에게 구매 금액별 할인 쿠폰을 증정한다.googletag.display(""google_dfp_MC_250x250"");  3만원 이상 구매 시 20%, 5만원 이상 구매 시 30%의 쿠폰을 지급받을 수 있다.
해당 쿠폰은 오는 19일부터 30일까지 오프라인 매장에서 사용 가능하다.
단, 타 행사와 중복 적용되지 않으며 포인트 적립 및 사용이 불가하다는 점을 유의해야 한다.
[디지털뉴스국 김설하 인턴기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
					
					
window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")"
매출 `5%` 더페이스샵 직영몰 중단한 LG생활건강 속내는,2019/06/12,경제>서비스_쇼핑 | 경제>유통 | 경제>산업_기업,http://news.mk.co.kr/newsRead.php?year=2019&no=411056,매일경제,더페이스샵,"[사진 출처 = 더페이스샵 홈페이지]
 LG생활건강이 로드숍 화장품 브랜드 더페이스샵의 직영 온라인몰을 폐쇄했다. 오프라인 영업 부진을 호소하는 가맹점주들을 위한 상생 조치 중 하나다. 그러나 직영몰 비중이 통상 전체 매출에 5% 미만인 탓에 과도한 생색내기가 아니냐는 지적이 나온다,
12일 LG생활건강에 따르면 더페이스샵은 지난 7일부터 온라인 쇼핑 서비스를 종료했다. 더페이스샵뿐 아니라 비욘드와 CNP 등 LG생활건강의 화장품 브랜드를 판매하는 네이처컬렉션도 같은 날부터 온라인 직영몰 문을 닫았다.googletag.display(""google_dfp_MC_2x1,fluid""); 향후 온라인몰은 제품 홍보 등으로만 이용된다.
LG생활건강 측은 가맹점주들과의 상생을 위한 조치라고 설명했다. 앞서 더페이스샵 가맹점주협의회는 여러 차례 집회를 열고 화장품 온라인 초저가 판매 등을 규탄하면서 가맹 본사가 오프라인 매장 활로를 열어달라고 촉구한 바 있다. 
실제 로드숍의 경우 가맹점 매출 비중이 점점 줄어드는 추세다. 2012년 더페이스샵 전체 매출 중 가맹점이 차지하는 비중이 35%였으나 2016년 31.3%, 지난해 상반기에는 29%까지 떨어졌다. 이 마저도 면세점이 포함돼있어 실제 가맹점 매출 비중은 더욱 적을 것으로 보인다.
그러나 가맹점주들의 반응은 시큰둥하다. 직영몰이 전체 매출에서 차지하는 비중이 크지 않기 때문이다. 통상 로드숍 브랜드 직영몰 매출 비중은 전체의 2~7%대로 알려졌다. 또 가맹점주들이 규탄한 건 직영몰이 아니라 G마켓과 11번가, 쿠팡 등에서 초저가로 판매되고 있는 제품인 점도 다소 실효성이 떨어진다. 
한 더페이스샵 점주는 ""가맹점주들은 직영몰 폐쇄를 한 번도 요구한 적이 없고, 오픈마켓에서 판매되는 면세품 등 비유통 제품을 잡아달라는 것이었다""며 ""요구하지도 않은 직영몰을 폐쇄하고 가맹점과 상생했다는 생색을 내기 위한 것 아니냐""고 꼬집었다.
경쟁사와의 상생 행보도 엇갈린다.googletag.display(""google_dfp_MC_250x250"");  이니스프리와 아리따움, 에뛰드를 운영하는 아모레퍼시픽은 올해부터 직영몰에서 발생한 매출을 소비자가 지정한 매장과 나눠갖는 방안을 마련했다. 실제 효과는 미미하지만 최소한의 상생 장치라도 마련했다는 평가가 점주들 사이에서 나온다.
한 화장품업계 관계자는 ""온라인 쇼핑이 점점 더 일상으로 자리잡고 있는 와중에 온라인몰을 닫는다는 것은 잘 이해가 되지 않는 행보""라며 ""자칫 더페이스샵 브랜드 경쟁력을 더 약화시킬 수 있다""고 우려했다. 
또 다른 관계자는 ""직영몰은 가격이 오프라인하고 같고, 다른 온라인 사이트에서 더 저렴한 가격에 판매하기 때문에 소비자들의 이용이 크지 않다""며 ""가맹점주들의 반발을 잠재우기 위해 면피용으로 내놓은 조치로 보인다""고 말했다.
[디지털뉴스국 신미진 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
					
					
window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")"
"더페이스샵, 온라인 쇼핑 서비스 종료…종합 편집숍 '네이처컬렉션'도",2019/06/12,IT_과학>모바일 | 경제>서비스_쇼핑 | IT_과학>인터넷_SNS,http://www.asiae.co.kr/article/2019061207360251283,아시아경제,더페이스샵,"[아시아경제 차민영 기자] LG생활건강이 운영하는 로드숍 더페이스샵과 편집숍 네이처컬렉션이 모두 온라인몰 서비스를 종료한다. 12일 관련 업계에 따르면 더페이스샵과 네이처컬렉션은 지난 7일 온라인 직영몰 문을 닫았다. 더페이스샵 측은 ""회사 내부정책으로 인해 더페이스샵 온라인몰이 2019년 6월 7일자로 구매 서비스를 종료하게 됐다""며 ""온라인몰에서의 구매 기능만 종료되는 것으로 제품정보, 프로모션, 매장정보 조회 등 기능은 유지된다""고 설명했다. 이어 ""보유하신 쿠폰과 포인트 사용방법 안내는 최대한 빨리 후속공지 드리겠다. 온라인 쇼핑몰 이용에 불편을 드려 사괴드린다""고 덧붙였다. 

네이처컬렉션 역시 이와 유사한 공고를 통해 7일 영업을 종료한다고 알렸다. 네이처컬렉션은 LG생활건강의 화장품 브랜드 종합 편집숍으로 더페이스샵 외에도 CNP, 이자녹스, 수려한, VTXBTS, 보닌, 케어존 등이 입점해 있다.한편, 더페이스샵은 작년 매출액으로 4876억원을 기록해 전년 동기(5673억원) 대비 14%가량 실적이 감소했다. 같은 기간 영업이익은 160억원으로 전년(156억원)보다 소폭 증가했고, 당기순이익은 27억원으로 흑자전환했다.	



 
차민영 기자 blooming@asiae.co.kr













TODAY 주요뉴스




						""고유정, 시신 훼손하고 노래방 데이트에…소...

						
마스크영역


""섹스로봇, 사회에 엄청난 영향""…앞으로는
삼성에 무릎 꿇었던 '휴대폰 왕국'의 화려한 부활
고유정 주장에 ""국비 장학금으로 네덜란드 유학"" 
""여성 BJ 보고 3번 했다""…인터넷서 난리난 사건 




 

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
'가성비 갑' 더페이스샵 이제 온라인서 못산다,2019/06/11,경제>서비스_쇼핑 | 경제>산업_기업 | IT_과학>인터넷_SNS,http://news.moneytoday.co.kr/view/mtview.php?no=2019061108360589583&type=2,머니투데이,더페이스샵,"/그래픽=유정수 디자인 기자

LG생활건강 더페이스샵이 온라인 영업을 접었다. 오프라인 가맹점주들이 가격 경쟁력 등을 이유로 온라인 강화 움직임에 강하게 반발한 데 따른 조치다. 고심 끝에 내놓은 상생안이지만 시장 흐름에 어긋난다는 지적도 나온다.  


11일 화장품업계에 따르면 LG생활건강 로드숍 브랜드 더페이스샵은 지난 7일부로 온라인 판매를 종료했다. 더페이스샵을 포함해 다수의 LG생활건강 브랜드를 취급하는 편집숍 네이처컬렉션도 마찬가지다. 


이들은 공식 홈페이지 메인 화면에 안내문을 띄워 ""회사 내부 정책으로 온라인몰 구매 서비스가 종료됐다""며 ""이후 가까운 (오프라인) 매장을 이용해 달라""고 밝혔다. 그러면서 '매장 찾기' 링크를 함께 걸었다. 지난해 말 기준 더페이스샵 가맹점은 261개, 네이처컬렉션의 경우 322개다. 
/사진=더페이스샵 공식 홈페이지 화면 캡처

더페이스샵 온라인몰이 문을 닫은 건 14년 만이다. 더페이스샵은 2005년 일찍이 온라인 영업을 시작했다. 로드숍이 호황을 누린 2010년대 초중반까진 온라인몰 운영에 문제가 없었다. 하지만 불황이 심화하면서 상황이 달라졌다. 지난해 더페이스샵 매출은 4873억원으로 5년 전에 비해 20% 줄었다. 


변화한 유통 구조에 대응해 온라인 강화에 나설수록 오프라인 가맹점주의 불만은 커져만 갔다. 가맹점주들은 동일한 제품이 온라인에서 좀더 저렴하게 판매되는 상황을 지적하며 ""본사가 가맹점을 고사시킨다""고 목소리를 높였다.  


더페이스샵은 지난해 오픈마켓 판매를 중단했지만 가맹점주의 반발이 잦아들진 않았다. 더페이스샵만의 문제는 아니어서 지난 3월 '전국화장품가맹점연합회'가 출범하는 데까지 이르렀다. 브랜드를 막론하고 가맹점주들이 한 목소리를 내기 위해 뭉친 것이다. 


로드숍을 운영하는 회사마다 상생안을 마련했지만 뾰족한 수는 없었다. 아모레퍼시픽그룹 이니스프리, 아리따움, 에뛰드가 온라인 매출을 오프라인 가맹점주와 나눠갖는 프로그램을 도입한 게 그나마 진전된 방안으로 꼽혔다.


이번 더페이스샵의 온라인 영업 종료도 마찬가지다. LG생활건강은 ""상생을 위한 결론""이라고 설명했지만 실효성이 떨어진다는 지적이 나왔다. 로드숍 업계의 한 관계자는 ""상생을 위해선 브랜드가치를 키워야 하는데 온라인 포기는 온·오프라인을 함께 죽이는 일""이라고 꼬집었다. 


또 다른 업계 관계자는 ""시대와 시장 흐름에 역행하는 조치""라며 ""온라인몰을 이용하던 소비자는 오프라인 매장에 찾아가기보다는 다른 브랜드의 온라인몰로 갈아타지 않겠느냐""고 말했다."
"""라이언·어피치 총출동"" 더페이스샵X카카오프렌즈 컬래버레이션",2019/06/11,경제>유통 | 문화>생활 | 경제>서비스_쇼핑,http://www.asiae.co.kr/article/2019061109303837109,아시아경제,더페이스샵,"[아시아경제 차민영 기자] 자연주의 화장품 더페이스샵이 남녀노소에게 인기 있는 국민캐릭터 카카오프렌즈와 만났다.더페이스샵은 '2019 더페이스샵 X 카카오프렌즈 컬래버레이션' 제품인 '플레이 위드 더 프렌즈 클럽'을 선보인다고 11일 밝혔다. 이번 협업은 다가오는 여름철 야외 활동에 꼭 필요한 선케어, 바디케어, 메이크업 제품 라인 등으로 구성했다. 시선을 사로잡는 그린 컬러를 바탕으로 카카오프렌즈 캐릭터들이 테니스, 요가, 서핑 등을 즐기는 모습이 귀엽고 사랑스러운 디자인으로 등장한다.여름철 야외 활동시 가장 중요한 선케어 라인은 민감한 피부도 안심하고 사용할 수 있게 저자극 더마 브랜드인 닥터벨머와 함께 선크림, 선스틱, 쿠션타입 베이비선블록 등 총 4종이 출시됐다. 특히 '무기자차 선크림'과 '논코메도 선크림'은 기존 본품 대비 20ml 증량된 대용량으로 출시돼 가격적 혜택도 누릴 수 있다.아보카도 바디워시·바디로션 2종'은 매트 위에서 요가 자세를 취하고 있는 요가 라이언이 입체적으로 디자인돼 눈길을 사로잡는다. 바디워시에는 코코넛 유래 성분이 함유되어 순하고 부드러운 거품을 경험할 수 있고 바디로션에는 아보카도 오일이 함유되어 탄탄한 보습력으로 피부를 촉촉하게 가꿔준다.	



'어피치 파스텔 쿠션 블러셔'는 더페이스샵의 인기 제품인 쿠션 블러셔에 어피치가 바캉스를 즐기고 있는 귀여운 모습이 담겼다. 피치, 코랄, 핑크 총 3종의 컬러로 출시됐으며 내장된 퍼프를 활용해 특유의 맑은 컬러감으로 상큼한 과즙 메이크업의 볼을 연출할 수 있다.이외에도 여행시 휴대가능한 '클럽라이언 바디케어 트래블키트', 라이언피규어 케이스에 부드러운 무스틴트가 담긴 '벨벳 틴트', 피지 분비가 많아지는 더운 날씨에 꼭 필요한 '피지잡는 수분 기름종이 파우더'와 '피지잡는 모공밤' 등이 여름 분위기가 물씬 나는 카카오프렌즈 캐릭터들의 모습이 더해져 출시됐다.협업 제품들은 전국 더페이스샵, 네이처컬렉션 매장과 공식 온라인몰, 오픈마켓 등에서 만나볼 수 있다. 
차민영 기자 blooming@asiae.co.kr













TODAY 주요뉴스




						""고유정, 시신 훼손하고 노래방 데이트에…소...

						
마스크영역


""섹스로봇, 사회에 엄청난 영향""…앞으로는
삼성에 무릎 꿇었던 '휴대폰 왕국'의 화려한 부활
고유정 주장에 ""국비 장학금으로 네덜란드 유학"" 
""여성 BJ 보고 3번 했다""…인터넷서 난리난 사건 




 

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
