title,date,category,link,company,query,content
"이니스프리, 브라이트 솔루션 마스크 3종 출시",2019/06/17,경제>유통 | 경제>서비스_쇼핑 | 경제>산업_기업,http://www.asiae.co.kr/article/2019061709341607938,아시아경제,이니스프리,"[아시아경제 차민영 기자] 자연주의 화장품 브랜드 이니스프리가 칙칙해진 피부 고민에 도움을 주는 솔루션 마스크 라인의 '브라이트 솔루션 마스크' 3종을 추가 출시한다고 17일 밝혔다.이니스프리의 솔루션 마스크는 피부 타입에 따라 솔루션을 세분화해 맞춤 케어가 가능한 마스크 팩이다. 성분을 위주로 선택하던 기존의 마스크팩과 달리 개인별 피부 고민과 타입을 기준으로 뒀다. 지난 4월 보습과 트러블 구성의 6종을 출시했다.이번에 추가로 선보이는 브라이트 솔루션 마스크는 100% 셀룰로오스 시트에 비타민C를 코팅한 리얼 비타민C 원단을 적용했다. 브라이트닝 효과와 더불어 피부 결과 수분, 탄력 등 본인의 피부 고민에 따라 선택해서 사용하면 된다. 또한 시트와 에센스가 분리돼 있다가 사용 직전 터뜨려 섞어 쓰는 사용법으로 보다 신선하게 유효 성분을 피부에 전달해준다.우선 ▲클리어링 마스크는 피부 결 케어에 도움을 주는 에리스리톨이 함유돼 투명하고 매끈한 광채 피부로 가꿔준다. ▲모이스처라이징 마스크팩은 수분 공급을 도와주는 히알루론산 성분으로 여름철 자외선에 달아오른 피부를 촉촉하게 진정시켜준다. 피부 탄력 케어에 효과적인 아미노산 콤플렉스가 함유된 ▲퍼밍 마스크는 맑고 탄탄하게 광채 피부로 만들어준다.이니스프리 브라이트 솔루션 마스크 3종은 전국 이니스프리 매장과 공식 홈페이지를 통해 만날 수 있다. 제품 가격은 각 3500원대다. 	



 
차민영 기자 blooming@asiae.co.kr













TODAY 주요뉴스




						""고유정, 시신 훼손하고 노래방 데이트에…소...

						
마스크영역


""섹스로봇, 사회에 엄청난 영향""…앞으로는
삼성에 무릎 꿇었던 '휴대폰 왕국'의 화려한 부활
고유정 주장에 ""국비 장학금으로 네덜란드 유학"" 
""여성 BJ 보고 3번 했다""…인터넷서 난리난 사건 




 

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
"이니스프리, 에코손수건 10주년 캠페인…한정판 제품도 출시",2019/06/03,경제>서비스_쇼핑 | 경제>유통 | 경제>산업_기업,http://www.asiae.co.kr/news/view.htm?idxno=2019060309270195586,아시아경제,이니스프리,"[아시아경제 차민영 기자] 자연주의 화장품 브랜드 이니스프리가 '2019 에코손수건 캠페인'을 론칭하고 한정판 제품도 출시했다고 3일 밝혔다.에코손수건 캠페인은 손수건을 사용하는 작은 습관을 통해 자연을 지킬 수 있다는 믿음으로 이니스프리가 2010년부터 꾸준히 진행해온 글로벌 친환경 캠페인이다. 10주년을 맞은 올해는 '아이 플레이그린. 아이 라이크 미'라는 슬로건 아래 지구를 위한 실천으로 나 자신의 일상이 기분 좋게 변할 수 있다는 메시지를 전한다.2019년 에코손수건은 발랄한 모습의 캐릭터 일러스트와 선명하고 다채로운 컬러로 세 가지 디자인을 선보인다. 텀블러를 사용하고 에코백을 메는 등 플레이그린을 실천하는 나의 기분 좋은 순간을 표현하여 캠페인의 의미를 더한다.동일한 디자인 테마를 베스트셀러 제품들에 적용한 2019 에코손수건 리미티드 에디션을 출시했다. 리미티드 에디션은 ▲그린티 씨드 세럼 ▲그린티 밸런싱 스킨 ▲그린티 밸런싱 로션 ▲마이 메이크업 클렌저 - 미셀라 오일 워터 ▲그린티 립밤 ▲그린티 립 슬리핑 마스크로 구성된다. 2019년 한정 디자인으로 소장 가치를 높였으며, 일부 제품은 기존 대비 대용량으로 출시해 가성비를 높였다.풍성한 구성의 2019 에코손수건 씨드세럼 럭키박스도 한정 수량으로 출시했다. 캐릭터 자수가 새겨진 파우치와 그린티 씨드 세럼 대용량 1개가 기본 구성이며, 그린티 라인의 본품 1종을 랜덤으로 포함한다. 리미티드 에디션 단품 또는 럭키 박스 구매 시 에코손수건 1종을 증정한다. 이번 한정판 제품은 전국 이니스프리 매장과 홈페이지를 통해 만나볼 수 있다.	



6월 한 달간 이니스프리 화장품 공병을 매장에 가져오는 경우에도 에코손수건을 받을 수 있다. 더 많은 이들의 친환경 실천을 유도하기 위한 이벤트이며 손수건 증정뿐만 아니라 뷰티포인트 300점 적립 혜택도 제공한다.한편, 싱어송라이터 민수와 이니스프리가 콜라보레이션 한 캠페인 송 '아이 라이크 미'가 지난달 말 발매됐다. 캠페인 메시지를 담은 노랫말과 경쾌하면서도 세련된 사운드의 곡으로, 주요 음원 사이트에서 만날 수 있다.  
차민영 기자 blooming@asiae.co.kr













TODAY 주요뉴스




						""고유정, 시신 훼손하고 노래방 데이트에…소...

						
마스크영역


""섹스로봇, 사회에 엄청난 영향""…앞으로는
삼성에 무릎 꿇었던 '휴대폰 왕국'의 화려한 부활
고유정 주장에 ""국비 장학금으로 네덜란드 유학"" 
""여성 BJ 보고 3번 했다""…인터넷서 난리난 사건 




 

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
"이니스프리, '포레스트 포맨 올인원 에센스' 모델에 블락비 피오 발탁",2019/05/31,경제>서비스_쇼핑 | 경제>유통 | 경제>산업_기업,http://www.asiae.co.kr/news/view.htm?idxno=2019053108515629981,아시아경제,이니스프리,"[아시아경제 차민영 기자] 자연주의 화장품 브랜드 이니스프리가 그룹 블락비 멤버 피오와 함께 '포레스트 포맨 올인원 에센스' 캠페인을 진행한다고 31일 밝혔다.이니스프리가 남성 베스트 셀러 제품인 포레스트 포맨 올인원 에센스를 리뉴얼하고 블락비 피오를 광고 모델로 발탁했다. 최근 '강식당 2' 출연 소식으로 기대를 모으고 있는 피오는 밝고 청량한 이미지가 제품 특성과 부합해 모델로 선정됐다. 이날일부터 피오 특유의 장난기 가득 소년미를 담아낸 영상을 확인할 수 있으며, 광고 영상도 이후 공개될 예정이다.6년만에 대대적으로 리뉴얼 출시하는 포레스트 포맨 올인원 에센스는 이니스프리 남성 베스트셀러로, 바쁜 아침 여러 단계의 스킨케어가 번거로울 때 스킨, 로션, 에센스 기능을 한 번에 해결해준다. 또한 제주 곶자왈에서 찾은 블랙이스트 성분이 피부를 보호해 스트레스, 음주 등으로 약해진 피부를 건강하게 가꿔준다.모공, 트러블, 진정, 피부톤 등 남성들의 대표 피부 고민에 맞춰 ▲신경 쓰이는 모공과 유분을 케어하는 포어 케어 ▲각질로 인한 트러블을 케어하는 트러블 케어 ▲스트레스 받는 피부를 편안하게 케어하는 센서티브 ▲주름고민과 칙칙한 피부 톤을 케어하는 안티에이징까지 기능성 올인원 에센스를 4종으로 구성했다.한편, 이니스프리는 포레스트 포맨 올인원 에센스 출시를 기념해 다음달 1일부터 9일까지 제품 구매 시 포레스트 포맨 쉐이빙 및 클렌징 폼 등 클렌징 폼 본품 1종을 선택해 받을 수 있다. 포레스트 포맨과 피오 컬래버레이션 영상은 이니스프리 공식 페이스북, 유튜브 채널을 통해 확인할 수 있다. 	



 
차민영 기자 blooming@asiae.co.kr













TODAY 주요뉴스




						""고유정, 시신 훼손하고 노래방 데이트에…소...

						
마스크영역


""섹스로봇, 사회에 엄청난 영향""…앞으로는
삼성에 무릎 꿇었던 '휴대폰 왕국'의 화려한 부활
고유정 주장에 ""국비 장학금으로 네덜란드 유학"" 
""여성 BJ 보고 3번 했다""…인터넷서 난리난 사건 




 

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
"이니스프리, 음영 메이크업 3초 아이템 '퀵앤이지' 6종 출시",2019/05/21,문화>영화,http://www.asiae.co.kr/news/view.htm?idxno=2019052109155501017,아시아경제,이니스프리,"[아시아경제 차민영 기자] 자연주의 화장품 브랜드 이니스프리는 쉽고 빠르게 음영 메이크업을 완성할 수 있는 '퀵앤이지 라인' 6종을 출시한다고 21일 밝혔다.퀵앤이지 라인은 투톤 섀도우 2종 조합으로 바쁜 현대인이나 화장 입문자들이 쉽고 편리하게 음영 메이크업을 완성할 수 있도록 도와준다.'마이 아이섀도우 투톤'은 데일리 음영 메이크업에 적합한 컬러 조합이다. 투명하게 빛나는 글리터와 부드러운 촉감의 텍스처가 고급스럽고 내추럴한 눈매를 연출해준다. ▲설탕 솔솔 시나몬 브레드와 ▲반짝이는 핑크 뮬리 2종에 내장돼 있는 브러시 전용 클렌징 스펀지로 컬러 체인지와 양을 조절해 사용할 수 있다.스펀지 브러시 '마이 체인저블 브러시' 퀵앤이지 라인은 눈매에 맞게 발생, 밀착돼 가루날림이 적고 하루종일 그윽한 음영 메이크업을 유지시켜준다. 브러시의 위치와 힘 조절에 따라 데일리 음영부터 애교, 스모키 메이크업까지 다양하게 연출 가능하다.이니스프리는 이번 퀵앤이지 라인 출시를 기념해 마이 아이섀도우에 퀵앤이지 뷰티툴을 더한 '마이 아이섀도우 퀵앤이지 키트' 2종도 리미티드 에디션으로 함께 선보인다.	



데일리, 스모키 등 음영 메이크업을 쉽고 빠르게 완성하는 퀵앤이지 라인은 이달 20일부터 전국 이니스프리 매장과 홈페이지를 통해 만날 수 있다. 
차민영 기자 blooming@asiae.co.kr













TODAY 주요뉴스




						""고유정, 시신 훼손하고 노래방 데이트에…소...

						
마스크영역


""섹스로봇, 사회에 엄청난 영향""…앞으로는
삼성에 무릎 꿇었던 '휴대폰 왕국'의 화려한 부활
고유정 주장에 ""국비 장학금으로 네덜란드 유학"" 
""여성 BJ 보고 3번 했다""…인터넷서 난리난 사건 




 

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
"이니스프리, #여름파데 1524 캠페인 실시 ""파운데이션 바꾸면 지원금""",2019/05/20,경제>유통 | 경제>서비스_쇼핑 | 문화>요리_여행,http://www.asiae.co.kr/news/view.htm?idxno=2019052009210886241,아시아경제,이니스프리,"[아시아경제 차민영 기자] 자연주의 화장품 브랜드 이니스프리가 베이스 메이크업이 고민되는 여름철을 맞아 '#여름파데 1524(일로이사)' 캠페인을 실시한다고 20일 밝혔다.이번 캠페인은 덥고 습해 베이스 지속력이 떨어지는 여름철을 대비해 지속력이 높은 여름 파운데이션을 제안하고 여름 파데로 이사할 경우 이사 지원금을 지원하는 내용이다. 여름철 소비자가 파운데이션을 사용할 때 가장 신경 쓰이는 지속력에 초점을 맞췄다. 베이스 메이크업이 쉽게 지워지는 계절을 대비해 이니스프리의 스테디셀러인 '마이 파운데이션' 중 지속력이 높고 더운 날씨에 사용하기 좋은 2가지 제품을 제안한다.피지 분비가 활발한 지성 피부의 여름 파운데이션으로는 보송하게 오래 지속되는 '마이 파운데이션 1.5'를 추천했다. 마이 파운데이션 1.5는 파우더핏의 보송한 마무리감과 컨실러 수준의 높은 커버력이 특징이다. 제주 화산송이 파우더가 함유돼 있어 불필요한 피지를 컨트롤 해준다.여름철에도 쉽게 피부가 마르는 건성 피부에게는 '마이 파운데이션 2.4'를 추천했다. 마이 파운데이션 2.4는 워터리 텍스처로 습한 여름 기후에도 산뜻한 베이스 메이크업을 연출할 수 있으며 제주 생녹차수가 함유돼 있어 에어컨 바람으로 인한 속 건조를 막아준다.여름을 대비해 마이 파운데이션을 구입하는 소비자를 위한 이사 지원금 이벤트도 진행한다. 오는 31일까지 마이 파운데이션으로 여름 파데를 교체(이사)할 경우 이사 지원금 1만원을 지원한다. 마이 파운데이션 구매 시 5000원은 즉시 할인되며, 5000원은 다음달 10일 페이백 쿠폰으로 지급돼 내달 말까지 온·오프라인에서 현금처럼 사용할 수 있다.	



한편, 이니스프리는 웹드라마와 드라마를 통해 밀레니얼 세대의 전폭적인 호응을 얻고 있는 배우 신예은과 함께한 #여름파데 1524 캠페인 영상을 유튜브에 공개했다. 신예은은 영상 속에서 검사원부터 지성피부인, 건성피부인까지 1인 3역을 소화하며 재기발랄한 모습을 뽐냈다.마이 파운데이션은 ▲보습 레벨 ▲커버 레벨 ▲컬러 레벨 3가지의 파운데이션 선택 기준을 내 맘대로 선택할 수 있는 것이 특징이다. 여름파데 1524 캠페인에 대한 자세한 내용은 이니스프리 공식 홈페이지를 통해 확인할 수 있다. 
차민영 기자 blooming@asiae.co.kr













TODAY 주요뉴스




						""고유정, 시신 훼손하고 노래방 데이트에…소...

						
마스크영역


""섹스로봇, 사회에 엄청난 영향""…앞으로는
삼성에 무릎 꿇었던 '휴대폰 왕국'의 화려한 부활
고유정 주장에 ""국비 장학금으로 네덜란드 유학"" 
""여성 BJ 보고 3번 했다""…인터넷서 난리난 사건 




 

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
이니스프리 신상 화장품 콘셉트는 '고객'…수분·진정 솔루션 메이드바이유,2019/05/16,경제>서비스_쇼핑 | 경제>유통 | 경제>산업_기업,http://www.asiae.co.kr/news/view.htm?idxno=2019051609042395535,아시아경제,이니스프리,"[아시아경제 차민영 기자] 자연주의 화장품 브랜드 이니스프리가 콘셉트 기획부터 제형 개발까지 고객의 힘으로 탄생한 '스킨클리닉마스크 마데카소사이드 메이드바이유'를 출시한다.16일 이니스프리에 따르면 메이드바이유는 기존 마데카소사이드 마스크팩 사용 고객의 품평을 수집해 신규 제형 투표, 블라인드·홈케어 체험단 등을 진행해 고객들의 진정성 있는 사용 후기와 개선 의견을 반영한 제품이다.콘셉트 기획부터 제형 개발까지 순수하게 고객과 함께한 메이드바이유 제품은 토너와 마스크팩, 앰플 3가지 유형으로 3중 진정케어를 도와준다. 기존 스킨클리닉 마데카소사이드 팩 성분을 더 진하고 확실하게 담아 진정은 물론 수분감까지 강화시켰다.1단계 토너 패드는 산뜻한 마데카소사이드 물 토너를 머금은 부드러운 극세사 거즈 패드로 세안 후 피부결 정돈은 물론 기초 수분공급을 도와준다. 2단계 마스크팩의 경우 기존 원단 대비 에센스 함침력과 수분 전달력을 강화해 기존보다 마데카소사이드의 효능을 깊고 빠르게 전달해준다. 마지막 단계 스팟 앰플이 피부 고민 부위의 추가 보습과 집중 진정케어를 도와준다.이니스프리 온라인몰에서만 만날 수 있는 메이드바이유는 런칭 기념으로 이달 말까지 메이드바이유 제품 3개 구매 시 기존 스킨클리닉 마스크 마데카소사이드 제품 3매를 지급하는 프로모션을 진행한다. 이 외에도 제품 사용 후 다음달 30일까지 필수 해시태그를 포함해 소셜네트워크서비스(SNS) 후기를 작성한 고객을 대상으로 추첨을 통해 5만원 상당의 마스크팩 세트를 증정할 예정이다.	



토너, 마스크, 앰플이 선사하는 3중 수분 진정 솔루션 메디드바이유는 온라인 전용 상품으로 지난 13일부터 공식 홈페이지를 통해 전개하고 있다. 
차민영 기자 blooming@asiae.co.kr













TODAY 주요뉴스




						""고유정, 시신 훼손하고 노래방 데이트에…소...

						
마스크영역


""섹스로봇, 사회에 엄청난 영향""…앞으로는
삼성에 무릎 꿇었던 '휴대폰 왕국'의 화려한 부활
고유정 주장에 ""국비 장학금으로 네덜란드 유학"" 
""여성 BJ 보고 3번 했다""…인터넷서 난리난 사건 




 

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
이니스프리 ‘빅세일’ 유의사항…‘할인前 판매가 5만원’ 할인혜택 기준!,2019/05/15,경제>서비스_쇼핑 | 경제>유통 | 경제>산업_기업,http://www.ajunews.com/view/20190515112313430,아주경제,이니스프리,"아모레퍼시픽 계열 화장품 브랜드 이니스프리가 역대급 혜택을 내건 ‘빅세일’을 오는 18일까지 진행한다. 
 

                                    

전 품목 최대 65% 할인이 가능하지만, 유의사항을 주지해야 실제 할인 혜택을 다양하게 누릴 수 있다.


이니스프리 관계자는 “이니스프리 전품목을 5만원 이상 구매할 경우 35% 할인된 가격에 제품을 살 수 있다”면서 “5만원 미만 구매할 시엔 20% 할인 혜택이 제공되며 이는 ‘할인 전 소비자 판매가 5만원을 기준’으로 한다”고 밝혔다.


이번 빅세일 이벤트는 이 기간동안 매일 오전 8시에 40% 할인 쿠폰을 선착순으로 발급한다. 네이버에서 ‘이니스프리’를 검색한 뒤 쿠폰을 다운받으면 된다.  단 쿠폰을 사용하기 위해서는 제품을 5만원 이상 구매해야 한다.


이니스프리는 이번 빅세일 기간 내 구매 고객을 대상으로 휠라(FILA)와 협업한 ‘바이플라스틱백’을 3900원에 판매하는 이벤트도 진행한다. 이 제품은 흰색과 남색 두 종류로 준비됐으며 한정수량 판매된다.

 



[사진=이니스프리 앱 캡처]"
"이니스프리, 최대 65% 할인 이벤트…40% 할인쿠폰도 선착순 지급",2019/05/15,경제>서비스_쇼핑 | 경제>유통 | 경제>산업_기업,http://www.segye.com/content/html/2019/05/15/20190515505728.html,세계일보,이니스프리,"15일 이니스프리 PC 홈페이지 내 이벤트 페이지 갈무리. 
           

 
아모레퍼시픽의 로드샵 화장품 브랜드 이니스프리가 오는 18일까지 최대 65% 할인 혜택을 제공하는 이벤트를 펼친다.
 
이른바 ‘빅 세일’(Big Sale) 이벤트로, 이니스프리 화장품을 자체 인터넷 쇼핑몰에서 5만원 이상 구매 시 전 품목을 대상으로 35% 할인해주고, 그 미만이면 20% 깎아준다.
 
등급에 관계 없이 이니스프리 회원이면 누구나 이런 혜택을 얻을 수 있다.
 
행사기간 날마다 오전 8시에는 40% 할인 쿠폰이 선착순 발급되는데, 네이버에서 이니스프리를 검색하면 내려받을 수 있다.
 
다만 이 쿠폰은 5만원 이상 구매 시에만 사용할 수 있으며, 또 행사기간 중 1회만 쓸 수 있다.
 
할인 대표 상품으로는 마이팔레트와 토이스토리 콜라보레이션인 ’한란 크림’, 클렌징폼, 선크림 등이 있다.
 
마이팔레트 일부에 한해 65%, 한란 크림은 60% 각각 할인해준다. 
 
클렌징폼과 선크림 등 일부도 50%까지 할인해준다. 
 
아울러 휠라(FILA)의 ‘바이플라스틱백’도 3900원에 선착순 판매한다. 
 
양봉식 기자 yangbs@segye.com


[ⓒ 세계일보 & Segye.com, 무단전재 및 재배포 금지]"
아침부터 이니스프리에 무슨 일?,2019/05/15,경제>서비스_쇼핑 | IT_과학>인터넷_SNS | 경제>산업_기업,http://news.moneytoday.co.kr/view/mtview.php?no=2019051509092353704&type=2,머니투데이,이니스프리,"이니스프리 빅세일 이벤트 이미지/사진제공=이니스프리

이니스프리가 '네이버 검색어 마케팅'에 뛰어들었다. 이니스프리를 검색하면 선착순으로 40% 할인 쿠폰을 지급한다. 


이니스프리는 이 같은 내용으로 15일부터 18일까지 4일간 빅세일 이벤트를 진행한다고 밝혔다. 


기존 멤버십데이보다 할인 범위가 넓다. 등급에 상관 없이 이니스프리 회원이라면 전품목을 20~35% 할인가에 이용 가능하다. 


5만원 이상 구매할 경우 35%, 그 미만일 때는 20% 할인 혜택을 받는다. 검색시 발급되는 할인 쿠폰은 5만원 이내로 적용된다. 


또 섀도우 마이팔레트 일부 제품은 65%, 토이스토리와 콜라보레이션(협업)한 한란 크림은 60% 할인가에 만나볼 수 있다. 클렌징폼, 선크림 등 일부 품목도 50%까지 할인 혜택이 제공된다. 


또 이번 빅세일 기간 중 상품을 구매하면 휠라의 바이플라스틱백을 3900원에 살 수 있다. 휠라는 이니스프리와 '이달의 에디션'을 함께 제작했다. 


한편 이니스프리는 이날 오전 네이버 실시간 검색어 1위에 오르고 공식 온라인몰이 마비되는 등 이슈를 모으고 있다."
이니스프리 `빅세일` 4일간 최대 65% 할인 혜택,2019/05/15,경제>서비스_쇼핑 | 경제>유통 | 경제>산업_기업,http://news.mk.co.kr/newsRead.php?year=2019&no=317844,매일경제,이니스프리,"[사진 출처 = 이니스프리 홈페이지 캡처]
 화장품 브랜드 이니스프리가 역대급 혜택을 제공하는 `빅세일`을 진행한다.
15일 이니스프리에 따르면 이날부터 오는 18일까지 총 4일 동안 최대 65% 할인 행사를 진행한다.
우선 해당 기간 동안 이니스프리 제품을 5만원 이상 구매할 경우 전 품목 35% 할인을 받을 수 있다.
5만원 미만을 구매할 시에도 20% 할인 혜택이 주어진다.googletag.display(""google_dfp_MC_2x1,fluid"");
이와 함께 `마이팔레트 65%`, `한란크림 토이박스 60%`, `클렌징폼 및 선크림 50%` 등 다양한 상품을 할인된 가격으로 만나볼 수 있다.
다만, 기간 내 ID당 동일 품목 10개까지만 구매 가능하다.googletag.display(""google_dfp_MC_250x250"");  또 해당 기간 동안 매일 오전 8시에 40% 할인 쿠폰을 선착순으로 한정 수량 발급한다.
모바일 네이버에서 이니스프리를 검색한 뒤 쿠폰을 지급받을 수 있다.
단 쿠폰을 사용하기 위해서는 제품을 5만원 이상 구매해야 한다는 점을 유의해야 한다.
한편 이니스프리는 이번 세일 기간 내 구매 고객을 대상으로 휠라(FILA)와 협업한 `바이플라스틱백`을 3900원에 판매하는 이벤트도 함께 진행한다.
[디지털뉴스국 김설하 인턴기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
					
					
window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")"
