title,date,category,link,company,query,content
"하나생명, IFRS17·4대보험 도입 앞두고 리스크 늘렸다",2019/06/05,경제>금융_재테크 | 사회>의료_건강,http://www.ajunews.com/view/20190602093029539,아주경제,하나생명,"하나생명보험이 경쟁사들과 정반대의 길을 걷고 있다. 새로운 국제회계기준(IFRS17)과 특수고용직 4대 보험 도입이라는 대규모 위기를 앞두고 경쟁사와 달리 오히려 리스크를 늘리는 모습이다.
 

                                    

5일 보험업계에 따르면 하나생명은 2017년 23명에 불과했던 전속 설계사 수를 올해 2월까지 39명으로 17명(69.57%) 늘렸다.


이 기간 24개 생보사의 전속 설계사 총원이 10만6989명에서 9만3973명을 1만3016명(12.17%) 줄었다는 것을 감안하면 이례적인 인력 확충이다. 또 해당 기간 전속 설계사를 늘린 생보사는 하나생명이 유일한 것으로 집계됐다. 나미저 23개 생보사가 모두 전속 설계사를 줄이는 동안 하나생명만 반대 방향으로 움직인 셈이다.

 



[사진=생명보험협회]


하나생명 외 다른 생보사가 전속 설계사를 줄이는 것은 지난해 불거진 특수형태근로종사자(특수고용직) 4대 보험 가입 의무화의 영향이다. 문재인 정부의 방침대로 앞으로 특수고용직에 4대 보험 가입이 의무화되면 전속 설계사 조직을 운영하는 보험사에 대규모 부담이 발생한다.


이지만 연세대 교수는 지난해 보험사 및 보험대리점 소속 설계사 22만4492명의 소득을 분석한 결과 4대 보험이 의무 도입되면 보험사의 부담이 연 1조2908억원에 이를 것으로 예측했다.


이 결과를 기준으로 보면 전속 설계사가 23명인 경우 8000만원, 39명인 경우 1억3500만원의 부담이 늘어나는 것으로 추산할 수 있다. 다른 생보사는 전속 설계사를 줄여 부담을 줄인 반면 하나생명은 전속 설계사를 17명 늘려 부담을 5500만원 가량 늘렸다.


물론 지난해 하나생명의 당기순이익 204억원에 비하면 전속 설계사 조직 확대로 늘어나는 비용 부담을 과중하게 볼 수는 없다. 또 하나생명은 수입보험료가 유사한 다른 생보사 대비 전속 설계사가 적은 편이라 지금 같은 상황에서도 늘려야 한다고 판단할 수 있다.


아울러 전속 설계사는 늘었으나 영업성과가 좋지 못했다. 지난해 하나생명의 전속 설계사 조직이 기록한 초회보험료는 1억7700만원으로 전체 초회보험료(163억8600만원)에서 차지하는 비중은 1.08%에 불과했다. 이는 2017년 1.17%보다 오히려 줄어든 수준이다. 방카슈랑스 등 다른 채널이 실적을 20% 가까이 개선됐으나 전속 설계사의 실적은 그만큼 늘어나지 못했다.

 



[사진=생명보험협회]


전속 설계사 확충보다 눈에 띄는 점은 하나생명의 저축성 보험 판매 실적이다. 금융감독원에 따르면 하나생명의 저축성 보험 판매비중은 82.52%로 2017년 74.76% 대비 7.76%포인트 늘었다.


같은 기간 24개 생보사의 저축성 보험 판매 비중은 48.94%에서 44.79%로 4.15%포인트 줄어든 것과 상당한 차이가 있다. 대부분 생보사가 저축성 보험을 줄이는 와중에 하나생명은 판매 규모를 늘린 것이다.


과거 저축성 보험은 일시적으로 환입되는 보험료 규모가 커 단기간에 수입보험료를 대폭 늘릴수 있는 효자상품으로 꼽혀왔다. 그러나 2022년 도입이 예고된 새로운 국제회계기준(IFRS17) 하에서는 책임준비금을 대규모로 적립해야 하는 부담이 발생한다.


때문에 대부분 생보사는 IFRS17이 도입되더라도 책임준비금 부담이 적은 보장성보험을 중심으로 체질개선을 진행하고 있다. 그러나 최근 하나생명은 저축성 보험 판매를 늘려 책임준비금 부담을 키우고 있다.


보험사 관계자는 ""2~3년 이후에 돌아올 리스크보다 단기 실적에 신경을 쓰는 것 같다""고 말했다.

 



[사진=하나금융그룹 제공]"
"하나생명, '(무)ELS의 정석 변액보험(달러형)' 출시",2019/05/27,경제>국제경제 | 경제>금융_재테크 | 경제>증권_증시,http://news.moneytoday.co.kr/view/mtview.php?no=2019052716254256307&type=2,머니투데이,하나생명,"사진=하나생명

하나생명은 보험료 납입부터 적립금 인출까지 모든 지급이 달러로 이뤄지는 달러ELS(주가연계증권) 기초 변액저축보험 상품인 '(무)ELS의 정석 변액보험(달러형)'을 출시했다고 27일 밝혔다.  


이 상품은 달러ELS펀드 운용을 통해 수익률은 높이고, 목표수익률 채권형 펀드 자동변경 기능을 통해 투자 안정성을 높인 것이 특징이다. 


3년 만기 주가지수달러ELS거치형에 투자해 조기상환 할 수 있도록 하고, 조기·만기 상환 시 원리금을 재투자하는 운용방식을 채택했다. 환율 변동성에 따른 수익 기회를 추가로 얻을 수 있고, 달러 상승 시 자산 가치 보전은 물론 달러예금 대비 높은 수익률을 제공한다. 


계약일 이후 3년 이상 경과된 계약이나 계약자가 선택한 목표수익률에 도달한 경우에는 채권형 펀드자동변경을 활용해 투자 안정성을 높였다. 


고객의 성향에 따라 주가지수달러ELS거치형과 달러단기채권형을 선택할 수 있으며 중도인출이나 추가납입 기능을 활용할 수 있다. 만 15세부터 80세까지 가입 가능한 일시납 상품으로 기본보험료는 5000달러 이상이다. 연간 12회까지 수수료 없이 펀드 변경이 가능하다. 


이 상품은 하나생명의 방카슈랑스 채널인 KEB하나은행을 통해 가입할 수 있다."
"하나생명, 달러형 변액보험 출시",2019/05/27,경제>국제경제 | 경제>금융_재테크 | 경제>증권_증시,http://news.mk.co.kr/newsRead.php?year=2019&no=353701,매일경제,하나생명,"하나생명은 27일 업계 최초로 보험료 납입부터 계약자적립금 인출 등 계약과 관련한 모든 지급이 미국 달러(USD)로 이뤄지는 달러 주가연계증권(ELS) 기초 변액저축보험 상품인 `ELS의 정석 변액보험(달러형)`을 출시했다고 밝혔다. 
이 상품은 적극적인 달러ELS 펀드 운용을 통해 수익률을 높이고 목표수익률 채권형 펀드 자동변경 기능을 통해 투자 안정성을 제고한다. 또 원화값 움직임에 따라 환차익 기회도 보너스로 얻을 수 있다. 이 상품은 조기 상환 배리어가 낮은 3년 만기 주가지수 달러ELS 거치형에 투자해 빠르게 조기 상환할 수 있도록 했다. 또 조기·만기 상환 시 원리금을 재투자(snowball)하는 운용 방식을 채택해 투자 수익을 높였다. 
환율 변동성에 따른 수익 기회를 추가로 얻을 수 있고 원화값 하락 시 자산 가치 보전은 물론 달러예금 대비 높은 수익률을 가입자에게 제공한다. 또한 계약일 이후 3년 이상 경과한 계약이나 계약자가 선택한 목표수익률에 도달한 경우에는 채권형 펀드 자동 변경을 활용해 투자 안정성을 높일 수 있도록 했다.
[이승훈 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]
					
					
window.jQuery || document.write(""<script src='//common.mk.co.kr/common/include/mklib/jquery.js'>"")"
"하나생명, 업계 최초 비과세 달러 ELS 변액저축보험 출시",2019/05/27,경제>국제경제 | 경제>금융_재테크 | 경제>산업_기업,http://www.sedaily.com/NewsView/1VJAZ5DD4F,서울경제,하나생명,"삼성생명만 만나면 펄펄 나는 신세계가 6라운드 맞대결에서도 승리를 거뒀다.
신세계는 5일 용인체육관에서 열린 2008~2009 여자프로농구 삼성생명과의 경기에서 78-74로 승리하며 올 시즌 4승2패의 우위를 보였다. 신세계는 2연패에서 탈출하며 11승15패로 단독 4위를 굳게 지켰고, 5위 국민은행(6승19패)과도 4.5게임차로 승차를 벌렸다. 반면 삼성생명(16승10패)은 3연승 행진을 마감하고 금호생명(16승9패)에 단독 2위 자리를 내줬다.
신세계는 센터 이종애와 허윤정이 부상으로 빠진 삼성생명을 맞아 리바운드에서 34-20으로 크게 앞서며 제공권을 장악했다. 허윤자(8점·11리바운드)가 리바운드에 앞장섰고, 득점에서는 김정은(21점)이 삼성생명의 골밑을 공략했다. 
신세계는 삼성생명 이미선(19점)과 박정은(20점)에게 연속 득점을 허용하며 경기종료 2분6초 전 73-70까지 쫓겼지만 임영희(6점)와 김지윤(12점·5어시스트)이 침착하게 점수를 보태 승리를 지켰다.
김정은은 “삼성생명 센터진이 일찍 파울트러블에 걸려 골밑을 공략한 게 좋은 결과로 이어졌다”며 “삼성생명과는 팀컬러가 비슷해 자신감을 가지고 경기에 임하게 되는 것 같다”고 말했다. "
"하나생명, 달러투자형 'ELS의 정석 변액보험' 출시",2019/05/27,경제>국제경제 | 경제>금융_재테크 | 경제>증권_증시,http://www.asiae.co.kr/news/view.htm?idxno=2019052709493360622,아시아경제,하나생명,"[아시아경제 박지환 기자] 하나생명은 보험료 납입부터 계약자적립금 인출 등 계약 관련 모든 지급이 미국달러로 이뤄지는 달러ELS 기초 변액저축보험 상품인 '(무)ELS의 정석 변액보험(달러형)'을 판매한다고 27일 밝혔다.이 상품은 달러 ELS펀드 운용을 통해 수익률은 높이고 목표수익률 채권형 펀드 자동변경 기능을 통해 투자안정성을 확보한 것이 특징이다. 여기에 환차익의 기회도 보너스로 얻을 수 있다.조기 상환 배리어가 낮은 3년만기 주가지수달러ELS 거치형에 투자해 조기상환이 가능하다. 조기·만기 상환시 원리금을 재투자(snowball)하는 운용방식을 채택해 투자 수익을 극대화했다. 환율 변동성에 따른 수익 기회를 추가로 얻을 수 있고, 달러 상승시 자산 가치의 보전은 물론 달러예금 대비 높은 수익률을 고객에 제공한다. 또한 자산가치가 하락하지 않도록 계약일 이후 3년 이상 경과된 계약이나 계약자가 선택한 목표수익률에 도달한 경우에는 채권형 펀드자동변경으로 투자의 안정성을 높일 수 있도록 했다.만 15세부터 80세까지 가입 가능한 일시납 상품으로 기본보험료는 USD 5000달러 이상이다. 연간 12회까지 수수료 없이 펀드 변경이 가능해 수수료 부담도 없앴다.	



고안조 변액보험자산운용부 본부장은 ""ELS 정석 변액보험(달러형)은 달러라는 안전자산을 확보 하는 것은 물론 ELS 투자기법으로 투자 위험은 낮추고, 일정조건 충족시 비과세 혜택까지 받을 수 있다""고 설명했다.  
박지환 기자 pjhyj@asiae.co.kr













TODAY 주요뉴스




						""섹스로봇, 사회에 엄청난 영향""…앞으로는

						
마스크영역


""고유정, 시신 훼손하고 노래방 데이트에…소름""
삼성에 무릎 꿇었던 '휴대폰 왕국'의 화려한 부활
고유정 주장에 ""국비 장학금으로 네덜란드 유학"" 
'접신의 경지' 태영호 ""트럼프·김정은 만날 시점은…""




 

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
"하나생명, 아름다운가게에 물품 기증",2019/04/27,경제>산업_기업 | 경제>서비스_쇼핑 | 사회>사회일반,http://www.sedaily.com/NewsView/1VI0KPHRPP,서울경제,하나생명,"삼성생명만 만나면 펄펄 나는 신세계가 6라운드 맞대결에서도 승리를 거뒀다.
신세계는 5일 용인체육관에서 열린 2008~2009 여자프로농구 삼성생명과의 경기에서 78-74로 승리하며 올 시즌 4승2패의 우위를 보였다. 신세계는 2연패에서 탈출하며 11승15패로 단독 4위를 굳게 지켰고, 5위 국민은행(6승19패)과도 4.5게임차로 승차를 벌렸다. 반면 삼성생명(16승10패)은 3연승 행진을 마감하고 금호생명(16승9패)에 단독 2위 자리를 내줬다.
신세계는 센터 이종애와 허윤정이 부상으로 빠진 삼성생명을 맞아 리바운드에서 34-20으로 크게 앞서며 제공권을 장악했다. 허윤자(8점·11리바운드)가 리바운드에 앞장섰고, 득점에서는 김정은(21점)이 삼성생명의 골밑을 공략했다. 
신세계는 삼성생명 이미선(19점)과 박정은(20점)에게 연속 득점을 허용하며 경기종료 2분6초 전 73-70까지 쫓겼지만 임영희(6점)와 김지윤(12점·5어시스트)이 침착하게 점수를 보태 승리를 지켰다.
김정은은 “삼성생명 센터진이 일찍 파울트러블에 걸려 골밑을 공략한 게 좋은 결과로 이어졌다”며 “삼성생명과는 팀컬러가 비슷해 자신감을 가지고 경기에 임하게 되는 것 같다”고 말했다. "
"하나생명, 아름다운가게에 물품 기증",2019/04/27,경제>산업_기업 | 경제>서비스_쇼핑 | 사회>사회일반,http://www.sedaily.com/NewsView/1VI0KPHRPP,서울경제,하나생명,"삼성생명만 만나면 펄펄 나는 신세계가 6라운드 맞대결에서도 승리를 거뒀다.
신세계는 5일 용인체육관에서 열린 2008~2009 여자프로농구 삼성생명과의 경기에서 78-74로 승리하며 올 시즌 4승2패의 우위를 보였다. 신세계는 2연패에서 탈출하며 11승15패로 단독 4위를 굳게 지켰고, 5위 국민은행(6승19패)과도 4.5게임차로 승차를 벌렸다. 반면 삼성생명(16승10패)은 3연승 행진을 마감하고 금호생명(16승9패)에 단독 2위 자리를 내줬다.
신세계는 센터 이종애와 허윤정이 부상으로 빠진 삼성생명을 맞아 리바운드에서 34-20으로 크게 앞서며 제공권을 장악했다. 허윤자(8점·11리바운드)가 리바운드에 앞장섰고, 득점에서는 김정은(21점)이 삼성생명의 골밑을 공략했다. 
신세계는 삼성생명 이미선(19점)과 박정은(20점)에게 연속 득점을 허용하며 경기종료 2분6초 전 73-70까지 쫓겼지만 임영희(6점)와 김지윤(12점·5어시스트)이 침착하게 점수를 보태 승리를 지켰다.
김정은은 “삼성생명 센터진이 일찍 파울트러블에 걸려 골밑을 공략한 게 좋은 결과로 이어졌다”며 “삼성생명과는 팀컬러가 비슷해 자신감을 가지고 경기에 임하게 되는 것 같다”고 말했다. "
"하나생명, 아름다운가게에 물품 기증",2019/04/26,경제>산업_기업 | 경제>서비스_쇼핑 | 사회>사회일반,http://www.sedaily.com/NewsView/1VI0KPHRPP,서울경제,하나생명,"삼성생명만 만나면 펄펄 나는 신세계가 6라운드 맞대결에서도 승리를 거뒀다.
신세계는 5일 용인체육관에서 열린 2008~2009 여자프로농구 삼성생명과의 경기에서 78-74로 승리하며 올 시즌 4승2패의 우위를 보였다. 신세계는 2연패에서 탈출하며 11승15패로 단독 4위를 굳게 지켰고, 5위 국민은행(6승19패)과도 4.5게임차로 승차를 벌렸다. 반면 삼성생명(16승10패)은 3연승 행진을 마감하고 금호생명(16승9패)에 단독 2위 자리를 내줬다.
신세계는 센터 이종애와 허윤정이 부상으로 빠진 삼성생명을 맞아 리바운드에서 34-20으로 크게 앞서며 제공권을 장악했다. 허윤자(8점·11리바운드)가 리바운드에 앞장섰고, 득점에서는 김정은(21점)이 삼성생명의 골밑을 공략했다. 
신세계는 삼성생명 이미선(19점)과 박정은(20점)에게 연속 득점을 허용하며 경기종료 2분6초 전 73-70까지 쫓겼지만 임영희(6점)와 김지윤(12점·5어시스트)이 침착하게 점수를 보태 승리를 지켰다.
김정은은 “삼성생명 센터진이 일찍 파울트러블에 걸려 골밑을 공략한 게 좋은 결과로 이어졌다”며 “삼성생명과는 팀컬러가 비슷해 자신감을 가지고 경기에 임하게 되는 것 같다”고 말했다. "
"하나생명, 아름다운가게에 물품 기증",2019/04/26,경제>산업_기업 | 경제>서비스_쇼핑 | 사회>사회일반,http://www.sedaily.com/NewsView/1VI0KPHRPP,서울경제,하나생명,"삼성생명만 만나면 펄펄 나는 신세계가 6라운드 맞대결에서도 승리를 거뒀다.
신세계는 5일 용인체육관에서 열린 2008~2009 여자프로농구 삼성생명과의 경기에서 78-74로 승리하며 올 시즌 4승2패의 우위를 보였다. 신세계는 2연패에서 탈출하며 11승15패로 단독 4위를 굳게 지켰고, 5위 국민은행(6승19패)과도 4.5게임차로 승차를 벌렸다. 반면 삼성생명(16승10패)은 3연승 행진을 마감하고 금호생명(16승9패)에 단독 2위 자리를 내줬다.
신세계는 센터 이종애와 허윤정이 부상으로 빠진 삼성생명을 맞아 리바운드에서 34-20으로 크게 앞서며 제공권을 장악했다. 허윤자(8점·11리바운드)가 리바운드에 앞장섰고, 득점에서는 김정은(21점)이 삼성생명의 골밑을 공략했다. 
신세계는 삼성생명 이미선(19점)과 박정은(20점)에게 연속 득점을 허용하며 경기종료 2분6초 전 73-70까지 쫓겼지만 임영희(6점)와 김지윤(12점·5어시스트)이 침착하게 점수를 보태 승리를 지켰다.
김정은은 “삼성생명 센터진이 일찍 파울트러블에 걸려 골밑을 공략한 게 좋은 결과로 이어졌다”며 “삼성생명과는 팀컬러가 비슷해 자신감을 가지고 경기에 임하게 되는 것 같다”고 말했다. "
"하나생명, 아름다운가게에 임직원 기증품 전달",2019/04/26,경제>산업_기업 | 경제>서비스_쇼핑 | 지역>경북,http://news.moneytoday.co.kr/view/mtview.php?no=2019042617033056911&type=2,머니투데이,하나생명,"함영주 하나금융그룹 부회장(왼쪽에서 세번째), 주재중 하나생명 사장(왼쪽에서 네번째)은 지난 25일 아름다운가게에서 열린 ‘하나생명과 함께하는 아름다운 특별전’에 기증품 720여점과 함께 기부금을 전달했다./사진=하나생명 

하나생명은 지난 25일 사회적기업 '아름다운가게'에서 열린 ‘하나생명과 함께하는 아름다운 특별전’에 총 720여 점의 중고물품을 기증했다고 26일 밝혔다.  


이번 특별전은 아름다운가게 1호점인 안국점에서 진행됐다. 함영주 하나금융그룹 부회장이 참석해 소장품을 기증하고 주재중 하나생명 사장을 비롯한 임직원들이 기부한 도서, 의류, 소형가전, 생활용품 등이 저렴하게 판매됐다. 


판매 수익금은 소외아동의 정서지원을 위해 사용될 예정이다. 하나생명은 기증물품 외에 별도 기부금을 아름다운가게에 기부했다."
